SetInfo,songName
"SET 1","Long Cool Woman in a Black Dress"
"SET 1","Proud Mary"
"SET 1","In the Midnight Hour"
"SET 1","Squeeze Box"
"SET 1","Roadhouse Blues"
"SET 1","Happy Birthday to You"
"SET 2","Scarlet Begonias"
"SET 2","Fire on the Mountain"
"SET 1","Makisupa Policeman"
"SET 1","In the Midnight Hour"
"SET 1","Wild Child"
"SET 1",Jam
"SET 1",Bertha
"SET 1","Can't You Hear Me Knocking"
"SET 1","St. Stephen Jam"
"SET 1","Can't You Hear Me Knocking"
"SET 1","Camel Walk"
"SET 1","Eyes of the World"
"SET 1","Whipping Post"
"SET 1",Drums
"SET 1",Jam
"SET 1","Wild Child"
"SET 1",Bertha
"SET 1","Can't You Hear Me Knocking"
"SET 1","Camel Walk"
"SET 1",Jam
"SET 1","In the Midnight Hour"
"SET 1","Scarlet Begonias"
"SET 1",Fire
"SET 1","Fire on the Mountain"
"SET 1","Makisupa Policeman"
"SET 1","Slave to the Traffic Light"
"SET 1","Spanish Flea"
"SET 1","Don't Want You No More"
"SET 1",Cities
"SET 1",Drums
"SET 1","Skippy the Wondermouse"
"SET 1",Fluffhead
ENCORE,"Eyes of the World"
"SET 1","Slave to the Traffic Light"
"SET 1","Mike's Song"
"SET 1","Dave's Energy Guide"
"SET 1","You Enjoy Myself"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Prep School Hippie"
"SET 1","Run Like an Antelope"
"SET 1",Anarchy
"SET 1","Camel Walk"
"SET 1","Fire Up the Ganja"
"SET 1","Skippy the Wondermouse"
"SET 1","In the Midnight Hour"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","Alumni Blues"
"SET 1","Skippy the Wondermouse"
"SET 1",Bertha
"SET 1",Jam
"SET 1","Mike's Song"
"SET 1","I Am Hydrogen"
"SET 1","Don't Want You No More"
"SET 1",Cities
"SET 1","Wild Child"
"SET 1","Slave to the Traffic Light"
"SET 1",Jam
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Mike's Song"
"SET 1","Dave's Energy Guide"
"SET 1","Big Leg Emma"
"SET 1",Revolution
"SET 1",Anarchy
"SET 1","I Wish"
"SET 1","Camel Walk"
"SET 1","Run Like an Antelope"
"SET 2","McGrupp and the Watchful Hosemasters"
"SET 2","Makisupa Policeman"
"SET 3","Quinn the Eskimo"
"SET 1","Slave to the Traffic Light"
"SET 1","Mike's Song"
"SET 1","Dave's Energy Guide"
"SET 1","Big Leg Emma"
"SET 2","Alumni Blues"
"SET 2","Wild Child"
"SET 2","Can't You Hear Me Knocking"
"SET 2",Jam
"SET 2",Cities
"SET 2","Bring It On Home"
"SET 3","Scarlet Begonias"
"SET 3","Eyes of the World"
"SET 3","Whipping Post"
"SET 3","McGrupp and the Watchful Hosemasters"
"SET 3","Makisupa Policeman"
"SET 3","Run Like an Antelope"
"SET 3","The Other One"
ENCORE,Anarchy
"SET 1","Big Leg Emma"
"SET 1","Dog Log"
"SET 1","Prep School Hippie"
"SET 1","Camel Walk"
"SET 1","Alumni Blues"
"SET 1","Run Like an Antelope"
"SET 1","Dave's Energy Guide"
"SET 1","McGrupp and the Watchful Hosemasters"
"SET 1","Low Rider Jam"
"SET 1","Big Leg Emma"
"SET 1","Wild Child"
"SET 1","Back Porch Boogie Blues"
"SET 1","Camel Walk"
"SET 1",Possum
"SET 1",Fire
"SET 1","Slave to the Traffic Light"
"SET 1","In the Midnight Hour"
"SET 2","Melt the Guns"
"SET 2","T.V. Theme"
"SET 2","Sneakin' Sally Through the Alley"
"SET 2","Prep School Hippie"
"SET 3","Mike's Song"
"SET 3","Dave's Energy Guide"
"SET 3","McGrupp and the Watchful Hosemasters"
"SET 3",Cities
"SET 3",Anarchy
"SET 3",Revolution
"SET 3",Anarchy
"SET 3",Revolution
"SET 3","Makisupa Policeman"
"SET 1","T.V. Theme"
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Mike's Song"
"SET 1","Dave's Energy Guide"
"SET 1",Revolution
"SET 1",Anarchy
"SET 1","Camel Walk"
"SET 1","Run Like an Antelope"
"SET 1","McGrupp and the Watchful Hosemasters"
"SET 1","Harry Hood"
"SET 1","Dog Log"
"SET 1",Possum
"SET 1","Slave to the Traffic Light"
"SET 1","Sneakin' Sally Through the Alley"
"SET 1","I Wish"
"SET 1",Revival
"SET 1","Alumni Blues"
"SET 1","Letter to Jimmy Page"
"SET 1","Alumni Blues"
"SET 1","Prep School Hippie"
"SET 1","Skippy the Wondermouse"
"SET 1","Slave to the Traffic Light"
"SET 1",Hurricane
"SET 1","Makisupa Policeman"
"SET 1",Piggies
"SET 1","Makisupa Policeman"
"SET 1",Drums
"SET 1","Alumni Blues"
"SET 1","Dear Mrs. Reagan"
"SET 1","Wild Thing"
"SET 2","Mike's Song"
"SET 2","Whipping Post Jam"
"SET 2","Run Like an Antelope"
"SET 2","Dave's Energy Guide"
"SET 1","Slave to the Traffic Light"
"SET 1","Mike's Song"
"SET 1","Dave's Energy Guide"
"SET 1","You Enjoy Myself"
"SET 1","Alumni Blues"
