SetNumber,songName
1,"Long Cool Woman in a Black Dress"
1,"Proud Mary"
1,"In the Midnight Hour"
1,"Squeeze Box"
1,"Roadhouse Blues"
1,"Happy Birthday to You"
2,"Scarlet Begonias"
2,"Fire on the Mountain"
3,"Makisupa Policeman"
4,"In the Midnight Hour"
4,"Wild Child"
4,Jam
4,Bertha
4,"Can't You Hear Me Knocking"
4,"St. Stephen Jam"
4,"Can't You Hear Me Knocking"
4,"Camel Walk"
4,"Eyes of the World"
4,"Whipping Post"
4,Drums
5,Jam
5,"Wild Child"
5,Bertha
5,"Can't You Hear Me Knocking"
5,"Camel Walk"
5,Jam
5,"In the Midnight Hour"
5,"Scarlet Begonias"
5,Fire
5,"Fire on the Mountain"
5,"Makisupa Policeman"
5,"Slave to the Traffic Light"
5,"Spanish Flea"
5,"Don't Want You No More"
5,Cities
5,Drums
5,"Skippy the Wondermouse"
5,Fluffhead
6,"Eyes of the World"
7,"Slave to the Traffic Light"
7,"Mike's Song"
7,"Dave's Energy Guide"
7,"You Enjoy Myself"
7,"Alumni Blues"
7,"Letter to Jimmy Page"
7,"Alumni Blues"
7,"Prep School Hippie"
7,"Run Like an Antelope"
8,Anarchy
8,"Camel Walk"
8,"Fire Up the Ganja"
8,"Skippy the Wondermouse"
8,"In the Midnight Hour"
9,"Sneakin' Sally Through the Alley"
10,"Alumni Blues"
10,"Skippy the Wondermouse"
10,Bertha
10,Jam
10,"Mike's Song"
11,"I Am Hydrogen"
11,"Don't Want You No More"
11,Cities
11,"Wild Child"
11,"Slave to the Traffic Light"
11,Jam
11,"Alumni Blues"
11,"Letter to Jimmy Page"
11,"Alumni Blues"
11,"Mike's Song"
11,"Dave's Energy Guide"
11,"Big Leg Emma"
11,Revolution
11,Anarchy
11,"I Wish"
11,"Camel Walk"
11,"Run Like an Antelope"
12,"McGrupp and the Watchful Hosemasters"
12,"Makisupa Policeman"
13,"Quinn the Eskimo"
14,"Slave to the Traffic Light"
14,"Mike's Song"
14,"Dave's Energy Guide"
14,"Big Leg Emma"
15,"Alumni Blues"
15,"Wild Child"
15,"Can't You Hear Me Knocking"
15,Jam
15,Cities
15,"Bring It On Home"
16,"Scarlet Begonias"
16,"Eyes of the World"
16,"Whipping Post"
16,"McGrupp and the Watchful Hosemasters"
16,"Makisupa Policeman"
16,"Run Like an Antelope"
16,"The Other One"
17,Anarchy
18,"Big Leg Emma"
19,"Dog Log"
19,"Prep School Hippie"
19,"Camel Walk"
19,"Alumni Blues"
19,"Run Like an Antelope"
19,"Dave's Energy Guide"
19,"McGrupp and the Watchful Hosemasters"
20,"Low Rider Jam"
20,"Big Leg Emma"
20,"Wild Child"
20,"Back Porch Boogie Blues"
20,"Camel Walk"
20,Possum
20,Fire
20,"Slave to the Traffic Light"
20,"In the Midnight Hour"
21,"Melt the Guns"
21,"T.V. Theme"
21,"Sneakin' Sally Through the Alley"
21,"Prep School Hippie"
22,"Mike's Song"
22,"Dave's Energy Guide"
22,"McGrupp and the Watchful Hosemasters"
22,Cities
22,Anarchy
22,Revolution
22,Anarchy
22,Revolution
22,"Makisupa Policeman"
23,"T.V. Theme"
23,"Alumni Blues"
23,"Letter to Jimmy Page"
23,"Alumni Blues"
23,"Mike's Song"
23,"Dave's Energy Guide"
23,Revolution
23,Anarchy
23,"Camel Walk"
23,"Run Like an Antelope"
23,"McGrupp and the Watchful Hosemasters"
24,"Harry Hood"
24,"Dog Log"
24,Possum
24,"Slave to the Traffic Light"
24,"Sneakin' Sally Through the Alley"
24,"I Wish"
24,Revival
24,"Alumni Blues"
24,"Letter to Jimmy Page"
24,"Alumni Blues"
24,"Prep School Hippie"
24,"Skippy the Wondermouse"
25,"Slave to the Traffic Light"
25,Hurricane
25,"Makisupa Policeman"
25,Piggies
25,"Makisupa Policeman"
25,Drums
25,"Alumni Blues"
25,"Dear Mrs. Reagan"
26,"Wild Thing"
27,"Mike's Song"
27,"Whipping Post Jam"
27,"Run Like an Antelope"
27,"Dave's Energy Guide"
28,"Slave to the Traffic Light"
28,"Mike's Song"
28,"Dave's Energy Guide"
28,"You Enjoy Myself"
28,"Alumni Blues"
28,"Letter to Jimmy Page"
28,"Alumni Blues"
28,"Prep School Hippie"
28,"Run Like an Antelope"
29,Tonight
29,"The Pendulum"
29,"Babylon is Burning"
29,"Dec 1661"
30,"Quinn the Eskimo"
30,"Have Mercy"
30,"Harry Hood"
30,"The Pendulum"
30,"Dave's Energy Guide"
30,Icculus
30,"You Enjoy Myself"
31,"Help on the Way"
31,Slipknot!
31,"AC/DC Bag"
31,"McGrupp and the Watchful Hosemasters"
31,"Alumni Blues"
31,"Letter to Jimmy Page"
31,"Alumni Blues"
31,"Dear Mrs. Reagan"
32,"Not Fade Away"
33,"AC/DC Bag"
33,"Dear Mrs. Reagan"
33,"Prep School Hippie"
33,"Quinn the Eskimo"
33,"Slave to the Traffic Light"
33,"Makisupa Policeman"
33,"Have Mercy"
33,"All Blues"
33,"Dog Log"
33,Possum
33,"You Enjoy Myself"
33,Anarchy
33,"Camel Walk"
33,"Alumni Blues"
33,"Letter to Jimmy Page"
33,"Alumni Blues"
34,"Halley's Comet"
34,"Back Porch Boogie Blues"
34,"Halley's Comet"
35,"Dog Log"
35,"Halley's Comet"
35,"Back Porch Boogie Blues"
35,"Halley's Comet"
36,"Golgi Apparatus"
36,"Slave to the Traffic Light"
36,Wilson
36,"Halley's Comet"
36,Possum
36,"Sneakin' Sally Through the Alley"
36,"Makisupa Policeman"
37,"Alumni Blues"
37,"Makisupa Policeman"
37,"Skin It Back"
37,Cities
37,"I Am Hydrogen"
37,"McGrupp and the Watchful Hosemasters"
37,"AC/DC Bag"
37,"You Enjoy Myself"
37,Lushington
38,"Peaches en Regalia"
38,"Golgi Apparatus"
38,"Swing Low, Sweet Chariot"
38,"Camel Walk"
38,"Shaggy Dog"
38,"Mustang Sally"
38,Fluffhead
38,"Sneakin' Sally Through the Alley"
38,Wilson
38,"Slave to the Traffic Light"
38,"Quinn the Eskimo"
38,"Mike's Song"
38,"Have Mercy"
38,"Harry Hood"
39,"Roll Like a Cantaloupe"
39,Sanity
39,Anarchy
40,Clod
41,"Mustang Sally"
41,"Camel Walk"
41,"Golgi Apparatus"
